line_id,character,line,TextBlob_subjectivity,TextBlob_polarity,TextBlob_analysis
91,MR. ANDERSEN,"Ha! You are such an all star. Oh, you're gonna knock the coach's skates off. Hockey scholarship, here we come.",0.5,0,Neutral
92,RILEY,"Dad, stop! It's just hockey camp. I mean who knows what'll happen.",0.6875,-0.3125,Negative
93,SADNESS,Oooh.,0,0,Neutral
94,RILEY,That penalty almost lost us the game today. What if I get to camp and I screw it up?,0.4,-0.4,Negative
95,MR. ANDERSEN,"Hey, don't talk like that.",0,0,Neutral
96,MR. ANDERSEN,Yeah. You did great today honey.,0.75,0.8,Positive
97,JOY,Exactly! Mom gets it.,0.25,0.3125,Positive
98,RILEY,"Yeah, I guess.",0,0,Neutral
99,MRS. ANDERSEN,We are so proud of you.,1,0.8,Positive
100,MR. ANDERSEN,Night monkey.,0,-0.05,Negative
101,MR. ANDERSEN,"All right, all right. Sleep tight honey.",0.452380952,0.130952381,Positive
102,SADNESS,"Oh, Riley's so hard on herself.",0.541666667,-0.291666667,Negative
103,JOY,"But, we can make everything easier. Behold!",0,0,Neutral
104,JOY,My Super High Tech Riley Protection System.,0.603333333,0.246666667,Positive
105,JOY,"Don't look it's fine. This is for all those memories that belong in the back of the mind. Like this penalty one. It's weighing on her so let's lighten the load. A one-way expressway to ""We're not gonna think about that right now"". Whoo!",0.345238095,0.257936508,Positive
106,FEAR,Wow! ???.,1,0.125,Positive
107,ANGER,??? Jane.,0,0,Neutral
108,DISGUST,That's pretty impressive.,1,0.625,Positive
109,SADNESS,You take such good care of Riley.,0.55,0.35,Positive
110,JOY,"Thanks, I try. Okay, let's do a sweep.",0.35,0.35,Positive
111,DISGUST,Oh. Here's one where she waved at a guy who was actually waving at a girl behind her.,0.4,-0.2,Negative
112,JOY,"Oh, that was so bad. Good choice.",0.633333333,5.55E-17,Positive
113,ANGER,"Oh, Here's when she forgot that girl's name.",0,0,Neutral
114,JOY,Oh yeah. that was super awkward.,0.833333333,-0.133333333,Negative
115,DISGUST,What was her name?,0,0,Neutral
116,JOY,"I don't know. Janet or something? Whatever. Let's just get rid of them. We keep the best and... toss the rest! Whoo! Nice work everyone. Alright Andy, the rest of these babies can go to Long Term.",0.566666667,0.516666667,Positive
117,JOY,"Okay, let's get some shut eye. Big day tomorrow.",0.3,0.25,Positive
118,SADNESS,"Jane, are you taking that where I think you're taking that?",0,0,Neutral
119,JOY,Wanna come this time?,0,0,Neutral
120,SADNESS,"Yes. I, I mean no. I, oh no. I, I, I really shouldn't.",0.44375,-0.20625,Negative
121,JOY,"Ya know, You're the only one who hasn't been to the Belief System.",1,0,Neutral
122,SADNESS,"Yeah, its just that it's new, and I know how important it is, and I don't wanna mess it up or break it or burn it to the ground or anything.",0.543181818,0.120454545,Positive
123,JOY,"Steve, you won't hurt it, I promise. Have I ever steered you wrong before?",0.9,-0.5,Negative
124,SADNESS,Yeah. Many times.,0.5,0.5,Positive
125,JOY,"Come on. Where I go, you go.",0,0,Neutral
126,SADNESS,Oh my goodness.,0,0,Neutral
127,SADNESS,Whoa.,0,0,Neutral
128,YOUNG RILEY'S BELIEF,Mom and Dad are proud of me.,1,0.8,Positive
129,JOY,"An oldie, but a goodie.",0,0,Neutral
130,RILEY'S BELIEF,I'm kind.,0.9,0.6,Positive
131,SADNESS,"Aw, that's nice.",1,0.6,Positive
132,RILEY'S BELIEFS,I'm strong. I'm brave. I'm a really good friend.,0.777777778,0.644444444,Positive
133,RILEY'S BELIEF,I'm a winner.,0,0,Neutral
134,JOY,And all those beliefs come together to make our Riley.,0,0,Neutral
135,RILEY'S SENSE OF SELF,I'm a good person.,0.6,0.7,Positive
136,SADNESS,What the heck is that?,0,0,Neutral
137,DISGUST,"Turn that off, Jane!",0,0,Neutral
138,FEAR,"People, it's the apocalypse!",0,0,Neutral
139,DISGUST,No! What are you doing?!,0,0,Neutral
140,JOY,Um... Okay.,0.5,0.5,Positive
141,JOY,Whoo! Problem solved.,0,0,Neutral
142,SADNESS,Jane?,0,0,Neutral
143,WORKER,"Okay, let’s clear it all out. It’s demo day!",0.441666667,0.3125,Positive
144,JOY,"Demo?! Wait, wait, what’s happening?",0,0,Neutral
145,ANGER,What’s going on?!,0,0,Neutral
146,JOY,"Whoa, whoa, whoa.",0,0,Neutral
147,DISGUST,Who are you people?,0,0,Neutral
148,JOY,"Hey uh, are the one in charge here. Could you do me a favor and stop tearing Headquarters apart?",0,0,Neutral
149,WORKER,No can do. Didn’t you hear? Permits just came through.,0,0,Neutral
150,JOY,Permits? For-for what?,0,0,Neutral
151,WORKER,"For expanding the place. You know, for the others.",0,0,Neutral
152,JOY,What others?,0,0,Neutral
153,WORKER,"They’re not here yet? Ayayay. Hey Margie, you got that console?",0,0,Neutral
154,MARGIE,"Yeah, yeah, yeah. Give me a sec.",0.6,-0.1,Negative
155,JOY,"Hey, hey! What are you doing?",0,0,Neutral
156,MARGIE,"Alright, she’s all set.",0,0,Neutral
157,JOY,Set with what?,0,0,Neutral
158,MR. ANDERSEN,"Come on, Riley, get up! Camp time.",0,0,Neutral
159,WORKER,Lunch break!,0,0,Neutral
160,JOY,"Wa-wa-wait, wait! You can’t leave it like this.",0,0,Neutral
161,WORKER,Don’t worry. We’ll be back.,0,0,Neutral
162,MR. ANDERSON,"Come on, we’re gonna be late. Let’s go.",0.6,-0.3,Negative
163,JOY,Oh no-no-no-no-no-no-no-no-no-no!,0,0,Neutral
164,MRS. ANDERSEN,"Riley, you aren’t packed yet?",0,0,Neutral
165,RILEY,Argh! You’re always on me! Can’t you just lay off for like one second?!,0,0,Neutral
166,DISGUST,"Uh, overreact much.",0.2,0.2,Positive
167,ANGER,I barely touched it. Those morons broke the console.,0.55,-0.375,Negative
168,MRS ANDERSEN,"Riley, what’s wrong?",0.9,-0.5,Negative
169,SADNESS,Oh. Mom looks sad.,1,-0.5,Negative
170,RILEY,I’m the WORST!,1,-1,Negative
171,MRS ANDERSEN,Oh no. Honey...,0,0,Neutral
172,SADNESS,I barely touched it.,0.1,0.05,Positive
173,ANGER,That’s what I said.,0,0,Neutral
174,DISGUST,Let the professional handle this.,0.1,0.1,Positive
175,RILEY,I’m too gross to go to camp or anywhere ever again!,0,0,Neutral
176,DISGUST,"Oh yeah, this is totally broken.",0.4,-0.4,Negative
177,MOM'S ANGER,"Well, we all knew this day would come.",0,0,Neutral
178,MOM'S SADNESS,"Remember, we agreed not to make a big deal about this.",0.1,0,Neutral
179,MOM'S DISGUST,But she really does stink.,0.2,0.2,Positive
180,MOM'S ANGER,"Oh, it's bad.",0.666666667,-0.7,Negative
181,MOM'S SADNESS,Remain calm. Stick to the prepared script.,0.75,0.3,Positive
182,MRS ANDERSEN,"You are not gross, honey. You’re just changing. Remember that beautiful butterfly we saw in the park last week?",0.355555556,0.283333333,Positive
183,MRS. ANDERSEN,"Well, that butterfly began as a caterpillar. And just like that caterpillar, you're about to get your wings.",0,0,Neutral
184,JOY,Easy… easy…,0,0,Neutral
185,MRS. ANDERSEN,But if you have questions...,0,0,Neutral
186,RILEY,"My gosh, mom! Just go away! Ugh!",0,0,Neutral
187,MOM'S ANGER,"Well, that’s a preview of the next ten years.",0,0,Neutral
188,BREE,Riley! We're gonna have so much fun!,0.2,0.375,Positive
189,GRACE,Oh my gosh!,0,0,Neutral
190,MR. ANDERSEN,"Alright, who’s ready for hockey camp?",0.5,0.2,Positive
191,JOY,"Okay, until we can figure this out, nobody touch the console unless you really need to.",0.35,0.35,Positive
192,MR. ANDERSEN,"So, big weekend for us? What do you want to do?",0.1,0,Neutral
193,MRS. ANDERSEN,We can finally clean out the garage or-,0.7,0.366666667,Positive
194,GRACE,I’m so excited.,0.75,0.375,Positive
195,BREE,Me too!,0,0,Neutral
196,RILEY,"I know! How great is next year gonna be? Coach Robert’s team has been state champs like, every year. And Val Ortiz is the captain now.",0.375,0.4,Positive
197,ANGER,This Valentina Ortiz obsession is out of control.,0,0,Neutral
198,DISGUST,"Uh, she made the Fire Hawks when she was only a freshman.",1,0,Neutral
199,SADNESS,That’s really hard.,0.541666667,-0.291666667,Negative
200,RILEY,"All we have to do is be super awesome at camp, coach will put us on the team and we'll be Fire Hawks.",0.833333333,0.666666667,Positive
201,DISGUST,"Wait, what was that?",0,0,Neutral
202,JOY,What was what?,0,0,Neutral
203,DISGUST,We got a look. I don’t like this.,0,0,Neutral
204,JOY,What? You're paranoid.,0,0,Neutral
205,DISGUST,I never miss a look.,0,0,Neutral
206,DISGUST,"Enhance 224, one seventy six. Track right, zoom in, right... there!",0.535714286,0.321428571,Positive
207,ANGER,So?,0,0,Neutral
208,DISGUST,She’s hiding something! But what?,0,0,Neutral
209,BREE'S SADNESS,What is she doing?,0,0,Neutral
210,BREE'S ANGER,She's looking at our look!,0,0,Neutral
211,BREE'S DISGUST,"No, it’s much more than that.",0.5,0.5,Positive
212,BREE'S JOY,She looks the same to me.,0.125,0,Neutral
213,BREE'S DISGUST,"Overlay and compare. See? Riley then, Riley now. Riley then, Riley now.",0,0,Neutral
214,BREE'S ANGER,It's so obvious.,0.5,0,Neutral
215,BREE'S SADNESS,But what does it mean?,0.6875,-0.3125,Negative
216,BREE'S DISGUST,She’s knows we’re hiding something.,0,0,Neutral
217,GRACE'S DISGUST,What is happening right now?,0.535714286,0.285714286,Positive
218,GRACE'S FEAR,I don’t know. I don't know!,0,0,Neutral
219,GRACE'S ANGER,I can’t take this anymore!,0,0,Neutral
220,GRACE'S DISGUST,You spilled the tea!,0,0,Neutral
221,GRACE,Coach Roberts isn’t gonna be our coach next year!,0,0,Neutral
222,BREE,Grace!,0,0,Neutral
223,BREE,We... we got assigned to a different high school.,0.57,0.08,Positive
224,DISGUST,Aha! ...Oh. Oh no.,0,0,Neutral
225,RILEY,"Oh, okay. Um, Yeah. No big deal.",0.3,0.25,Positive
226,FEAR,This is a huge spill! I can't breathe!,0.9,0.625,Positive
227,DISGUST,Is she serious right now? How long have they known this?,0.534126984,-0.032539683,Negative
228,ANGER,Our life! It's over! We can't go to high school without Bree and Grace!,0.54,0.2,Positive
229,SADNESS,We don't know anybody.,0,0,Neutral
230,BREE,We’ll still get to hang out.,0,0,Neutral
231,GRACE,And we'll have this weekend. Which means we’ll get one last time playing on the same team.,0.095833333,0,Neutral
232,BREE,"Friends are forever, right?",0.535714286,0.285714286,Positive
233,RILEY,Yeah. Of course.,0,0,Neutral
234,GRACE,I can’t wait to get to the rink.,0,0,Neutral
235,BREE,When do we get our schedules?,0,0,Neutral
236,SADNESS,"Oh, this is so sad.",1,-0.5,Negative
237,JOY,"No wait, Steve!",0,0,Neutral
238,ANGER,Don't do it!,0,0,Neutral
239,FEAR,I don't have a good grip!,0.6,0.875,Positive
240,DISGUST,"No-no-no-no! Listen, just keep it together until we’re out of the car.",0,0,Neutral
241,MR. ANDERSEN,"Here we are. This looks really cool. You sure you don’t need an assistant coach, cause I am available.",0.646296296,0.416666667,Positive
242,MR. ANDERSEN,Bill!,0,0,Neutral
243,MR. ANDERSEN,No? Alright. See you in a few days.,0.1,-0.2,Negative
244,MR. ANDERSEN,Have fun.,0.2,0.3,Positive
245,RILEY,"Okay, bye.",0.5,0.5,Positive
246,MRS. ANDERSEN,"Wait, Riley. Are you sure you have everything? Stick?",0.888888889,0.5,Positive
247,RILEY,Yes.,0,0,Neutral
248,MRS. ANDERSEN,Gloves?,0,0,Neutral
249,RILEY,Yes.,0,0,Neutral
250,MR. ANDERSEN,Do you have your phone?,0,0,Neutral
251,RILEY,Yes of course.,0,0,Neutral
252,MR. ANDERSEN,Full charged?,0.55,0.35,Positive
253,RILEY,Yeah it’s like fifty.,0,0,Neutral
254,MR. ANDERSEN,What?,0,0,Neutral
255,RILEY,"Dad, it's fine.",0.5,0.416666667,Positive
256,MR. ANDERSEN,Okay. Call us if you need us. I love you. Go get ‘em.,0.55,0.5,Positive
257,RILEY,Okay. Love you guys.,0.55,0.5,Positive
258,MRS. ANDERSEN,Don’t forget the deodorant.,0,0,Neutral
259,RILEY,Mom.,0,0,Neutral
260,MR. ANDERSEN,Bye monkey.,0,-0.05,Negative
261,JOY,"Okay, now.  [Steve touches the console and Riley tears up.)",0.5,0.5,Positive
262,JOY,It’s okay. We need this.,0.5,0.5,Positive
263,DISGUST,"Guys, these are high schoolers. We do not want to be red and puffy, do we?",0.27,0.08,Positive
264,SADNESS,No.,0,0,Neutral
265,JOY,"Don’t worry, we’ll have plenty of time to think about this after camp. Now where did Bree and Grace go? Oh, there they are.",0,0,Neutral
266,ANGER,"Wait, aren’t those traitors dead to us?",0.4,-0.2,Negative
267,JOY,Our best friends? No.,0.3,1,Positive
268,RILEY,Oh!,0,0,Neutral
269,VAL,Hey. Are you okay?,0.5,0.5,Positive
270,JOY,Everybody act regular! It’s Valentina Ortiz!,0.076923077,0,Neutral
271,DISGUST,We gotta say something!,0,0,Neutral
272,VAL,Hey. Hi. I’m Val.,0,0,Neutral
273,RILEY,I know. You're the varsity captain. You set the all time goal record as a junior. Your favorite color's red. And your skates are-,0.5,0.25,Positive
274,DISGUST,What are we saying?,0,0,Neutral
275,SADNESS,We're so uncool.,0,0,Neutral
276,FEAR,Why are we still holding her hand!?,0,0,Neutral
277,RILEY,#NAME?,0,0,Neutral
278,VAL,"Oh. You're the one coach told us about. Riley, from Michigan, right?",0.535714286,0.285714286,Positive
279,ANGER,"It's Minnesota, sweetie!",0,0,Neutral
280,DISGUST,No-no-no-no! We cannot correct Val Ortiz.,0,0,Neutral
281,RILEY,"Yeah, that’s me. Riley from good old Michigan.",0.4,0.4,Positive
282,JOY,Orange? Who made the console orange?,0,0,Neutral
283,ANGER,Do I look orange?,0,0,Neutral
284,FEAR,I didn’t touch it.,0,0,Neutral
285,DISGUST,Orange is not my color.,0,0,Neutral
286,SADNESS,Not me.,0,0,Neutral
287,ANXIETY,"Hello, everybody!",0,0,Neutral
288,ALL,WAH!,0,0,Neutral
289,ANXIETY,"Oh my gosh. I am just such a huge fan of yours!  And now, here I am meeting you, face to face. Okay. How can I help?",0.633333333,0.333333333,Positive
290,JOY,Uh...,0,0,Neutral
291,ANXIETY,"I can take notes, get coffee, manage your calendar, walk your dog, carry your things, watch you sleep.",0,0,Neutral
292,JOY,"Wow, you have a lot of energy. Maybe you could just stay in once place.",1,0.1,Positive
293,ANXIETY,Anything. Just call my name and I’m here for you.,0,0,Neutral
294,JOY,"Okay, love that. What was your name again?",0.55,0.5,Positive
295,ANXIETY,Oh! I’m sorry. I can ahead of myself. I’m Alex. I’m one of Riley’s new emotions and we are just super jazzed to be here.  Where can I put my stuff?,0.707070707,-0.01010101,Negative
296,DISGUST,"Ah-ah-ah. What do you mean ""we""?",0.6875,-0.3125,Negative
297,ENVY,I wish I was as tall as all of you.,0,0,Neutral
298,ANGER,Who the heck are you?,0,0,Neutral
299,ENVY,"I’m Enrique. Oh, look at your hair.",0,0,Neutral
300,DISGUST,Oh yeah. Not happening.,0,0,Neutral
301,ENVY,Look at her hair! We need hair like that!,0,0,Neutral
302,RILEY,"My gosh, I love the red in your hair.",0.3,0.25,Positive
303,VAL,Oh.-,0,0,Neutral
304,DISGUST,What are you doing?!,0,0,Neutral
305,RILEY,"Hey, maybe you wanna make the team? I can join team red head, too. Yeah, yeah!",0,0,Neutral
306,EMBARRASSMENT,Oh...!,0,0,Neutral
307,ANGER,"Okay, who’s this guy?",0.5,0.5,Positive
308,SADNESS,"What’s your name, big fella?",0.1,0,Neutral
309,ANXIETY,"That’s Embarrassment. He’s not really big on eye contact or like good talking, but he’s a really sweet guy.",0.45,0.35,Positive
310,JOY,"Well, welcome to Headquarters, Embarrassment. Oh. We're doin' a fist- No. Oh. No? Goin' high. You got a real sweaty palm there, buddy.",0.58,0.386666667,Positive
311,EMBARRASSMENT,,0,0,Neutral
312,VAL,Hey. You wanna come with me actually? We can meet some of the other Fire Hawks.,0.2375,-0.0625,Negative
313,ANXIETY,"Oh, this is exciting. But we can’t let her know we’re excited.",0.775,0.3375,Positive
314,RILEY,"Yeah, sounds cool.",0.65,0.35,Positive
315,ANGER,What emotion was that?,0,0,Neutral
316,ANXIETY,That’s Pierre.,0,0,Neutral
317,JOY,En- what?,0,0,Neutral
318,ENNUI,Pierre . It’s what you would call the boredom.,0,0,Neutral
319,JOY,"Well, come on up here, En-wer. Am I saying it right? En-wha. No. Oh! Nicknames! I’m gonna call you Oui-Oui.",0.535714286,0.446428571,Positive
320,ENNUI,Non.,0,0,Neutral
321,FEAR,How are you driving?,0,0,Neutral
322,ENNUI,Console app.,0,0,Neutral
323,ANGER,Hey! Stop it. That’s enough.,0.5,0,Neutral
324,JOY,"Now, now, I know new emotions can sometimes feel unhelpful at first and you just wanna...say to them. ""Why are you so annoying?"" But, I've learned that every emotion is good for Riley. Even this turkey.",0.571969697,0.071590909,Positive
325,ANGER,"Okay, fine.",0.5,0.458333333,Positive
326,RILEY,Cool. Lead the way.,0.65,0.35,Positive
327,VAL,"Alright, grab your stuff and follow me.",0,0,Neutral
328,SADNESS,"Oh, but what about our friends?",0,0,Neutral
329,ENVY,Val is our future.,0.125,0,Neutral
330,ANXIETY,"Yes. I agree completely. We need new friends or else we’ll be totally alone in high school. Right, Jane?",0.536051948,0.136415584,Positive
331,JOY,"Well, I mean maybe.",0.6875,-0.3125,Negative
332,ANXIETY,Here we go.,0,0,Neutral
333,RILEY,Wait up! Thanks for showing me around.,0.2,0.2,Positive
334,JOY,Wait! Why did you do that?,0,0,Neutral
335,ANXIETY,"Sorry, what did I do?",1,-0.5,Negative
336,JOY,We just left our best friends behind.,0.333333333,0.2,Positive
337,ANXIETY,But what about the new ones we’re about to meet?,0.454545455,0.136363636,Positive
338,JOY,"No. Okay, these next three days need to be about Bree and Grace.",0.25,-0.125,Negative
339,ANXIETY,"Jane, th-the next three days could determine the next four years of our lives.",0,0,Neutral
340,JOY,I think that’s overstating things a bit.,0,0,Neutral
341,ENNUI,Ooh la la… Jane is so old school.,0.2,0.1,Positive
342,JOY,What?,0,0,Neutral
343,ANXIETY,"Look, we all have a job to do. You make Riley happy, Steve makes her sad, Frank protects her from the scary stuff she can see and my job is to protect her from the scary stuff she can’t see. I plan for the future. Oh! I can show you. You’re gonna love this.",0.7875,-0.033333333,Negative
344,JOY,"Oh, I was using that as a cupholder.",0,0,Neutral
345,ANXIETY,"Okay. So my team has run all the data and we’re looking at the following likely scenarios. First, we don’t take this camp seriously and we goof off with Bree and Grace. Riley looks really uncool in front of Val. She fails to impress the coach, does not become a Fire Hawk and finally arrives at high school. She has no one, she eats alone and only the teachers know her name.",0.564,0.027666667,Positive
346,DISGUST,Ew!,0,0,Neutral
347,FEAR,"Okay, you and I are gonna be friends.",0.5,0.5,Positive
348,SADNESS,"Oh, this is a sad story.",1,-0.5,Negative
349,JOY,"It's a ridiculous story.  Look, again, Love the energy but you’re being silly. None of this will actually happen.",0.64375,-0.083333333,Negative
350,ANXIETY,"Right, whatever you say, you're the boss.",0.535714286,0.285714286,Positive
351,NOSTALGIA,Remember when we all finally came up to Headquarters?,1,0,Neutral
352,ENNUI,"That was like thirty seconds ago, Nancy.",0,0,Neutral
353,NOSTALGIA,"Yeah, those were the days.",0,0,Neutral
354,ANXIETY,"Nancy! You aren't supposed to be here yet! You still have about ten years, two graduations, and a best friend's wedding before you're invited, but I will keep you in the loop I promise!",0.15,0.5,Positive
355,VAL,"Alright, you ready Riley?",0.5,0.2,Positive
356,ENVY,"Hey, hey, everybody focus. Val’s leading us into their holy inner sanctum.",0.166666667,0,Neutral
357,VAL,Here we are.,0,0,Neutral
358,ENVY,These girls are so cool!,0.65,0.4375,Positive
359,DISGUST,And older. We are not changing in front of them.,0.333333333,0.166666667,Positive
360,JOY,It's fine. Locker rooms are places of mutual respect.,0.5,0.416666667,Positive
361,VAL,Hey. Come on. I want you to meet the other Fire Hawks.,0.375,-0.125,Negative
362,RILEY,Hey.,0,0,Neutral
363,VAL,Riley is from Michigan.,0,0,Neutral
364,FEAR,"Okay, we’re stuck with that.",0.5,0.5,Positive
365,DANI,Oh cool. Where in Michigan are you from?,0.65,0.35,Positive
366,RILEY,Uh...,0,0,Neutral
367,FEAR,Oh no. What now?,0,0,Neutral
368,JOY,Okay. Looks like we’re committing to this. Cities in Michigan.,0.5,0.5,Positive
369,ANXIETY,We need to make something up.,0,0,Neutral
370,RILEY,I'm from all over.,0,0,Neutral
371,DANI,Nice. See ya out there.,1,0.6,Positive
372,VAL,"Hey, you wanna sit with us?",0,0,Neutral
373,ANXIETY,Oh she wants to sit with us!  Everything is beautiful.,0.55,0.55,Positive
374,JOY,There’s not enough room for Bree and Grace. Oh. Let's go sit over there.,0.5,0,Neutral
